,,,,,
EC2 INSTANCE,REGION :cn-north-1
InstanceID,Instance_State,InstanceName,Instance_Type,LaunchTime,Instance_Placement,VPC_Id,Contact,Environment,Project,Creator,Tier,Private IP Address,Public IP Address,Security Group,Key Name
i-08281b30,running,dev_internetds_life_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.129,,test_sg_app_internetds,test_internetds_private
i-41685b79,running,abfinance_lcb_production01,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,App,10.219.18.29,,sg_app_abfinance_lcb_production,abfinance_private
i-93696eab,running,yc_internetds_life_loadrunner5,c3.xlarge,2016-11-18 03:15:49+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.38,,sg_app_internetds_life_loadrunner,kp_deploy
i-ae241796,running,uat_internetds_health_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.36.226,,test_sg_app_internetds,test_internetds_private
i-5699986e,running,abfinance_95569_app12,c3.large,2016-11-28 07:06:32+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.22.67,,sg_app_abfinance_95569,95569_private
i-ea8ba852,running,abfinance_lcb_sales02,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,App,10.219.19.225,,sg_app_abfinance_lcb_sales,abfinance_private
i-14002bac,running,yc_internetds_life_jsyq_app02,m3.2xlarge,2016-11-04 08:07:45+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,abfinance,zhouchunlin,App,10.219.73.96,,sg_app_internetds_life_jsyq,kp_deploy
i-83f2c33b,running,abfinance_95569_app16,c3.large,2016-11-28 07:09:23+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.125,,sg_app_abfinance_95569,95569_private
i-63f2c3db,running,abfinance_95569_app14,c3.large,2016-11-28 07:06:58+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,95569,zhouchunlin,App,10.219.23.218,,sg_app_abfinance_95569,95569_private
i-69696e51,running,yc_internetds_life_loadrunner4,c3.xlarge,2016-11-18 03:16:07+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.200,,sg_app_internetds_life_loadrunner,kp_deploy
